"Story","Title","Result","Date","Stability","Duration (s)"
"Stores CRUD test","This test will create a new stores and verify its generated","SUCCESS","2020-06-08T17:15:34.890+01:00[Europe/London]","0.0","79.41"
"Categories CRUD test","This test will create a new categories and verify its generated","SUCCESS","2020-06-08T17:15:35.301+01:00[Europe/London]","0.0","75.93"
"Categories CRUD test","This test will get the categories information by ID","SUCCESS","2020-06-08T17:16:56.954+01:00[Europe/London]","0.0","1.94"
"Stores CRUD test","This test will get the stores information by ID","SUCCESS","2020-06-08T17:16:58.134+01:00[Europe/London]","0.0","2.3"
"Categories CRUD test","This test will update the categories information and verify the updated information","SUCCESS","2020-06-08T17:16:58.904+01:00[Europe/London]","0.0","2.99"
"Stores CRUD test","This test will update the store information and verify the updated information","SUCCESS","2020-06-08T17:17:00.450+01:00[Europe/London]","0.0","3.11"
"Categories CRUD test","This test will delete the categories information and verify the categories is deleted ","SUCCESS","2020-06-08T17:17:01.906+01:00[Europe/London]","0.0","3.32"
"Stores CRUD test","This test will delete the store and verify the store is deleted ","SUCCESS","2020-06-08T17:17:03.566+01:00[Europe/London]","0.0","1.78"
"Products CRUD test","This test will create a new products and verify its generated","SUCCESS","2020-06-08T17:17:15.882+01:00[Europe/London]","0.0","1.61"
"Products CRUD test","This test will get the product information by ID","SUCCESS","2020-06-08T17:17:17.496+01:00[Europe/London]","0.0","2.49"
"Products CRUD test","This test will update the product information and verify the updated information","SUCCESS","2020-06-08T17:17:20.036+01:00[Europe/London]","0.0","2.01"
"Products CRUD test","This test will delete the product information and verify the product is deleted ","SUCCESS","2020-06-08T17:17:22.053+01:00[Europe/London]","0.0","2.13"
"Service CRUD test","This test will create a new services and verify its generated","SUCCESS","2020-06-08T17:17:24.900+01:00[Europe/London]","0.0","2.38"
"Service CRUD test","This test will get the services information by ID","SUCCESS","2020-06-08T17:17:27.290+01:00[Europe/London]","0.0","2.61"
"Service CRUD test","This test will update the services information and verify the updated information","SUCCESS","2020-06-08T17:17:29.899+01:00[Europe/London]","0.0","3.36"
"Service CRUD test","This test will delete the categories information and verify the categories is deleted ","SUCCESS","2020-06-08T17:17:33.267+01:00[Europe/London]","0.0","3.0"
