"Story","Title","Result","Date","Stability","Duration (s)"
"Testing different requests on the best buy categories application","check if the best buy categories application can be accessed by users","SUCCESS","2020-06-08T17:15:36.707+01:00[Europe/London]","0.0","75.71"
"Testing different requests on the best buy categories application","Create a new categories & verify if the categories is added","SUCCESS","2020-06-08T17:17:19.215+01:00[Europe/London]","0.0","8.07"
"Testing different requests on the best buy categories application","Getting categories information by Id","SUCCESS","2020-06-08T17:17:27.754+01:00[Europe/London]","0.0","0.17"
"Testing different requests on the best buy categories application","Update a created categories & verify if the categories is updated","SUCCESS","2020-06-08T17:17:29.345+01:00[Europe/London]","0.0","1.32"
"Testing different requests on the best buy categories application","Delete a created categories & verify the categories is deleted","SUCCESS","2020-06-08T17:17:31.347+01:00[Europe/London]","0.0","1.73"
"Stores CRUD test","This test will create a new stores and verify its generated","SUCCESS","2020-06-08T17:15:34.890+01:00[Europe/London]","0.0","79.41"
"Categories CRUD test","This test will create a new categories and verify its generated","SUCCESS","2020-06-08T17:15:35.301+01:00[Europe/London]","0.0","75.93"
"Categories CRUD test","This test will get the categories information by ID","SUCCESS","2020-06-08T17:16:56.954+01:00[Europe/London]","0.0","1.94"
"Stores CRUD test","This test will get the stores information by ID","SUCCESS","2020-06-08T17:16:58.134+01:00[Europe/London]","0.0","2.3"
"Categories CRUD test","This test will update the categories information and verify the updated information","SUCCESS","2020-06-08T17:16:58.904+01:00[Europe/London]","0.0","2.99"
"Stores CRUD test","This test will update the store information and verify the updated information","SUCCESS","2020-06-08T17:17:00.450+01:00[Europe/London]","0.0","3.11"
"Categories CRUD test","This test will delete the categories information and verify the categories is deleted ","SUCCESS","2020-06-08T17:17:01.906+01:00[Europe/London]","0.0","3.32"
"Stores CRUD test","This test will delete the store and verify the store is deleted ","SUCCESS","2020-06-08T17:17:03.566+01:00[Europe/London]","0.0","1.78"
"Products CRUD test","This test will create a new products and verify its generated","SUCCESS","2020-06-08T17:17:15.882+01:00[Europe/London]","0.0","1.61"
"Products CRUD test","This test will get the product information by ID","SUCCESS","2020-06-08T17:17:17.496+01:00[Europe/London]","0.0","2.49"
"Products CRUD test","This test will update the product information and verify the updated information","SUCCESS","2020-06-08T17:17:20.036+01:00[Europe/London]","0.0","2.01"
"Products CRUD test","This test will delete the product information and verify the product is deleted ","SUCCESS","2020-06-08T17:17:22.053+01:00[Europe/London]","0.0","2.13"
"Service CRUD test","This test will create a new services and verify its generated","SUCCESS","2020-06-08T17:17:24.900+01:00[Europe/London]","0.0","2.38"
"Service CRUD test","This test will get the services information by ID","SUCCESS","2020-06-08T17:17:27.290+01:00[Europe/London]","0.0","2.61"
"Service CRUD test","This test will update the services information and verify the updated information","SUCCESS","2020-06-08T17:17:29.899+01:00[Europe/London]","0.0","3.36"
"Service CRUD test","This test will delete the categories information and verify the categories is deleted ","SUCCESS","2020-06-08T17:17:33.267+01:00[Europe/London]","0.0","3.0"
"Testing different requests on the best buy product application","check if the best buy product application can be accessed by users","SUCCESS","2020-06-08T17:17:33.903+01:00[Europe/London]","0.0","1.93"
"Testing different requests on the best buy product application","Create a new product & verify if the product is added","SUCCESS","2020-06-08T17:17:37.330+01:00[Europe/London]","0.0","1.33"
"Testing different requests on the best buy product application","Getting product information by Id","SUCCESS","2020-06-08T17:17:39.435+01:00[Europe/London]","0.0","0.18"
"Testing different requests on the best buy product application","Update a created product & verify if the product is updated","SUCCESS","2020-06-08T17:17:41.417+01:00[Europe/London]","0.0","0.58"
"Testing different requests on the best buy product application","Delete a created product & verify the product is deleted","SUCCESS","2020-06-08T17:17:42.817+01:00[Europe/London]","0.0","0.74"
"Testing different requests on the best buy services application","check if the best buy services application can be accessed by users","SUCCESS","2020-06-08T17:17:44.335+01:00[Europe/London]","0.0","0.21"
"Testing different requests on the best buy services application","Create a new services & verify if the services is added","SUCCESS","2020-06-08T17:17:45.634+01:00[Europe/London]","0.0","0.49"
"Testing different requests on the best buy services application","Getting services information by Id","SUCCESS","2020-06-08T17:17:47.082+01:00[Europe/London]","0.0","0.14"
"Testing different requests on the best buy services application","Update a created services & verify if the services is updated","SUCCESS","2020-06-08T17:17:48.232+01:00[Europe/London]","0.0","0.41"
"Testing different requests on the best buy services application","Delete a created services & verify the services is deleted","SUCCESS","2020-06-08T17:17:49.320+01:00[Europe/London]","0.0","0.49"
"Testing different requests on the best buy stores application","check if the best buy stores application can be accessed by users","SUCCESS","2020-06-08T17:17:50.415+01:00[Europe/London]","0.0","0.71"
"Testing different requests on the best buy stores application","Create a new stores & verify if the stores is added","SUCCESS","2020-06-08T17:17:52.923+01:00[Europe/London]","0.0","0.46"
"Testing different requests on the best buy stores application","Getting stores information by Id","SUCCESS","2020-06-08T17:17:54.512+01:00[Europe/London]","0.0","0.07"
"Testing different requests on the best buy stores application","Update a created store & verify if the store is updated","SUCCESS","2020-06-08T17:17:55.601+01:00[Europe/London]","0.0","0.61"
"Testing different requests on the best buy stores application","Delete a created store & verify the store is deleted","SUCCESS","2020-06-08T17:17:57.434+01:00[Europe/London]","0.0","0.29"
